Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
86822,544,0a,90,0,8,40,5,,
86822,534,53,8,,,,,,
86825,508,0,0,0,0,3,,,
86828,509,ad,5,f4,1,62,3,,
86828,538,0,0,aa,2,aa,2,0e,2
86828,500,4,,,,,,,
86829,504,0,1a,1,,,,,
86833,520,0,9,5,5,3,5,5,4
86834,514,0,4,0,,,,,
86835,513,0,0,0,0,,,,
86837,500,4,,,,,,,
86840,504,0,1a,1,,,,,
86841,512,0,0,0,0,,,,
86844,534,49,8,,,,,,
86845,50c,97,5,1,,,,,
86849,500,4,,,,,,,
86849,54c,0b,c0,0,0c,90,0,,
86851,504,0,1a,1,,,,,
86853,550,17,17,17,0,,,,
86859,500,4,,,,,,,
86861,513,0,0,0,0,,,,
86862,504,0,1a,1,,,,,
86866,534,49,8,,,,,,
86869,512,0,0,0,0,,,,
86869,548,0e,d0,0,86,c0,0,,
86870,524,0,0,0,0,5,0,5,9
86870,500,4,,,,,,,
86871,570,17,,,,,,,
86871,540,7,90,0,0c,b0,0,,
86873,504,0,1a,1,,,,,
86874,544,0a,90,0,8,30,5,,
86876,508,0,0,0,0,3,,,
86876,509,a9,5,f5,1,62,3,,
86879,538,0,0,aa,2,aa,2,0e,2
86881,500,4,,,,,,,
86884,504,0,1a,1,,,,,
86885,520,0,9,5,5,3,5,5,4
86886,534,50,8,,,,,,
86887,513,0,0,0,0,,,,
86892,568,18,,,,,,,
86892,500,4,,,,,,,
86893,512,0,0,0,0,,,,
86895,504,0,1a,1,,,,,
86898,50c,98,5,1,,,,,
86898,52c,0,,,,,,,
86899,56c,18,,,,,,,
86901,54c,0c,c0,0,0c,90,0,,
86904,500,4,,,,,,,
86906,504,0,1a,1,,,,,
86908,534,49,8,,,,,,
86910,510,78,5,0,,,,,
86913,513,0,0,0,0,,,,
86914,500,4,,,,,,,
86917,504,0,1a,1,,,,,
86918,55c,18,,,,,,,
86919,512,0,0,0,0,,,,
86919,548,0f,d0,0,9e,c0,0,,
86919,524,0,0,0,0,5,0,5,9
86921,528,0,,,,,,,
86922,564,17,,,,,,,
86923,540,7,90,0,0c,b0,0,,
86924,544,0a,90,0,8,30,5,,
86925,500,4,,,,,,,
86928,508,0,0,0,0,3,,,
86928,509,a8,5,f5,1,60,3,,
86928,538,0,0,aa,2,aa,2,0e,2
86929,504,0,1a,1,,,,,
86929,534,4a,8,,,,,,
86934,554,0,0,0,0,,,,
86935,514,0,4,0,,,,,
86936,500,4,,,,,,,
86936,520,0,9,5,5,3,5,5,4
86939,504,0,1a,1,,,,,
86944,513,0,0,0,0,,,,
86945,512,0,0,0,0,,,,
86947,50c,9a,5,1,,,,,
86947,500,4,,,,,,,
86950,504,0,1a,1,,,,,
86951,534,52,8,,,,,,
86953,54c,0c,c0,0,0c,90,0,,
