Millis, ID, Ext, Bus, Len, B0, B1, B2, B3, B4, B5, B6, B7
2857,510,0,0,3,6c,5,0,0,0,0,0,0
2865,528,0,0,1,30,0,0,0,0,0,0,0
2872,52C,0,0,1,30,0,0,0,0,0,0,0
2880,504,0,0,3,0,d1,1,0,0,0,0,0
2887,504,0,0,3,0,d1,1,0,0,0,0,0
2895,500,0,0,1,2,0,0,0,0,0,0,0
2902,504,0,0,3,0,d1,1,0,0,0,0,0
2909,534,0,0,2,a9,7,0,0,0,0,0,0
2917,504,0,0,3,0,d1,1,0,0,0,0,0
2924,504,0,0,3,0,d1,1,0,0,0,0,0
2932,534,0,0,2,ac,7,0,0,0,0,0,0
2941,504,0,0,3,0,d1,1,0,0,0,0,0
2949,500,0,0,1,2,0,0,0,0,0,0,0
2956,534,0,0,2,aa,7,0,0,0,0,0,0
2964,510,0,0,3,6c,5,0,0,0,0,0,0
2972,554,0,0,4,0,0,0,0,0,0,0,0
2979,52C,0,0,1,30,0,0,0,0,0,0,0
2987,500,0,0,1,2,0,0,0,0,0,0,0
2994,504,0,0,3,0,d1,1,0,0,0,0,0
3002,540,0,0,6,9,a0,0,8,90,0,0,0
3010,500,0,0,1,2,0,0,0,0,0,0,0
3017,504,0,0,3,0,d1,1,0,0,0,0,0
3025,534,0,0,2,aa,7,0,0,0,0,0,0
3033,500,0,0,1,2,0,0,0,0,0,0,0
3040,504,0,0,3,0,d1,1,0,0,0,0,0
3048,534,0,0,2,a9,7,0,0,0,0,0,0
3056,500,0,0,1,2,0,0,0,0,0,0,0
3066,504,0,0,3,0,d1,1,0,0,0,0,0
3073,534,0,0,2,aa,7,0,0,0,0,0,0
3081,570,0,0,1,16,0,0,0,0,0,0,0
3089,504,0,0,3,0,d1,1,0,0,0,0,0
3097,504,0,0,3,0,d1,1,0,0,0,0,0
3105,504,0,0,3,0,d1,1,0,0,0,0,0
3112,500,0,0,1,2,0,0,0,0,0,0,0
3120,534,0,0,2,a9,7,0,0,0,0,0,0
3128,504,0,0,3,0,d1,1,0,0,0,0,0
3136,500,0,0,1,2,0,0,0,0,0,0,0
3144,534,0,0,2,aa,7,0,0,0,0,0,0
3152,504,0,0,3,0,d1,1,0,0,0,0,0
3160,500,0,0,1,2,0,0,0,0,0,0,0
3168,540,0,0,6,9,a0,0,8,90,0,0,0
3176,510,0,0,3,6c,5,0,0,0,0,0,0
3184,528,0,0,1,30,0,0,0,0,0,0,0
3194,52C,0,0,1,30,0,0,0,0,0,0,0
3202,504,0,0,3,0,d1,1,0,0,0,0,0
3210,534,0,0,2,aa,7,0,0,0,0,0,0
3218,504,0,0,3,0,d1,1,0,0,0,0,0
3226,548,0,0,6,d,d0,0,b,c0,0,0,0
3234,534,0,0,2,a9,7,0,0,0,0,0,0
3242,504,0,0,3,0,d1,1,0,0,0,0,0
3250,500,0,0,1,2,0,0,0,0,0,0,0
3259,534,0,0,2,aa,7,0,0,0,0,0,0
3267,560,0,0,1,16,0,0,0,0,0,0,0
3275,504,0,0,3,0,d1,1,0,0,0,0,0
3283,510,0,0,3,6c,5,0,0,0,0,0,0
3291,528,0,0,1,30,0,0,0,0,0,0,0
3299,500,0,0,1,2,0,0,0,0,0,0,0
3308,500,0,0,1,2,0,0,0,0,0,0,0
3318,500,0,0,1,2,0,0,0,0,0,0,0
3332,534,0,0,2,ab,7,0,0,0,0,0,0
3342,500,0,0,1,2,0,0,0,0,0,0,0
3351,500,0,0,1,2,0,0,0,0,0,0,0
3359,500,0,0,1,2,0,0,0,0,0,0,0
3368,500,0,0,1,2,0,0,0,0,0,0,0
3376,504,0,0,3,0,d1,1,0,0,0,0,0
3385,500,0,0,1,2,0,0,0,0,0,0,0
3393,548,0,0,6,d,d0,0,b,c0,0,0,0
