Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
20643	513	0	0	0	0				
20644	508	ff	ff	0	0	0			
20644	509	0	0	0	0	0	0		
20644	538	0	0	0	0	0	0	0	0
20645	500	4							
20647	534	78	8						
20648	504	0	1a	1					
20656	500	4							
20659	504	0	1a	1					
20662	570	19							
20662	510	7a	5	0					
20662	540	8	a0	0	0c	c0	0		
20663	512	0	0	0	0				
20666	554	0	0	0	0				
20667	500	4							
20668	50c	80	1	0					
20668	548	10	d0	0	0b	c0	0		
20668	54c	0c	d0	0	0d	90	0		
20669	513	0	0	0	0				
20672	504	0	1a	1					
20673	534	78	8						
20673	528	0							
20679	524	0	0	0	0	5	0	5	9
20680	500	4							
20681	504	0	1a	1					
20682	544	0b	a0	0	9	d0	5		
20683	520	0	9	5	5	3	5	4	4
20683	568	18							
20689	512	0	0	0	0				
20692	56c	19							
20692	500	4							
20692	52c	0							
20692	534	78	8						
20692	504	0	1a	1					
20695	508	ff	ff	0	0	0			
20695	509	0	0	0	0	0	0		
20695	538	0	0	0	0	0	0	0	0
20695	513	0	0	0	0				
20701	500	4							
20704	504	0	1a	1					
20710	55c	18							
20712	500	4							
20712	534	78	8						
20714	540	8	a0	0	0d	c0	0		
20714	504	0	1a	1					
20715	512	0	0	0	0				
20719	50c	80	1	0					
20720	548	11	d0	0	0c	c0	0		
20720	54c	0c	c0	0	0c	90	0		
