Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
21286	568	18							
21287	548	10	d0	0	58	c0	0		
21287	54c	0c	c0	0	0d	90	0		
21290	512	0	0	0	0				
21292	56c	19							
21293	513	0	0	0	0				
21294	534	66	8						
21295	500	4							
21296	524	0	0	0	0	5	0	5	9
21297	504	0	1a	1					
21298	544	0b	b0	0	8	c0	5		
21299	520	0	9	5	5	3	5	5	4
21302	52c	0							
21305	500	4							
21307	508	ff	ff	0	0	0			
21307	509	0	0	0	0	0	0		
21307	538	0	0	0	0	0	0	0	0
21308	504	0	1a	1					
21313	55c	18							
21313	512	0	0	0	0				
21314	534	75	8						
21316	500	4							
21319	504	0	1a	1					
21322	513	0	0	0	0				
21327	500	4							
21327	564	18							
21328	514	0	2	0					
21330	504	0	1a	1					
21331	50c	82	1	0					
21332	540	9	a0	0	0d	c0	0		
21336	534	73	8						
21338	500	4							
21339	548	10	d0	0	8e	c0	0		
21342	54c	0c	d0	0	0c	90	0		
21342	512	0	0	0	0				
21342	504	0	1a	1					
21345	513	0	0	0	0				
21347	560	18							
21348	524	0	0	0	0	5	0	5	9
21350	544	0b	a0	0	9	c0	5		
21351	500	4							
21351	520	0	9	5	5	3	5	5	4
21352	504	0	1a	1					
21358	508	ff	ff	0	0	0			
21358	509	0	0	0	0	0	0		
21358	538	0	0	0	0	0	0	0	0
21358	534	68	8						
21361	500	4							
21363	504	0	1a	1					
21365	512	0	0	0	0				
21371	513	0	0	0	0				
21372	500	4							
21372	510	7a	5	0					
21375	504	0	1a	1					
21380	528	0							
21380	534	75	8						
21382	50c	80	1	0					
21383	500	4							
21384	540	8	a0	0	0d	c0	0		
21385	504	0	1a	1					
21391	512	0	0	0	0				
21391	548	0f	d0	0	58	c0	0		
21391	54c	0c	c0	0	0c	90	0		
21394	500	4							
21396	504	0	1a	1					
21397	513	0	0	0	0				
21399	524	0	0	0	0	5	0	5	9
21400	544	0b	a0	0	8	c0	5		
21400	534	70	8						
21403	520	0	9	5	5	3	5	5	4
21404	52c	0							
21407	500	4							
21407	504	0	1a	1					
21410	538	0	0	0	0	0	0	0	0
21410	509	0	0	0	0	0	0		
21410	508	ff	ff	0	0	0			
21417	500	4							
21417	512	0	0	0	0				
21418	504	0	1a	1					
21423	534	67	8						
21423	513	0	0	0	0				
21428	500	4							
21428	514	0	2	0					
21431	564	18							
21431	504	0	1a	1					
21433	50c	86	1	0					
21435	540	8	b0	0	0d	c0	0		
21439	500	4							
21440	504	0	1a	1					
21443	548	10	d0	0	92	c0	0		
21443	54c	0c	d0	0	0c	90	0		
21443	512	0	0	0	0				
21445	550	19	19	18	0				
21448	534	74	8						
21450	500	4							
21450	513	0	0	0	0				
21451	524	0	0	0	0	5	0	5	9
21451	504	0	1a	1					
21452	544	0c	a0	0	9	c0	5		
21454	520	0	9	5	5	3	5	5	4
21460	508	ff	ff	0	0	0			
21460	509	0	0	0	0	0	0		
21460	538	0	0	0	0	0	0	0	0
21463	504	0	1a	1					
21463	500	4							
21465	570	19							
21465	534	6e	8						
21469	512	0	0	0	0				
21471	554	0	0	0	0				
21473	510	7a	5	0					
21473	504	0	1a	1					
21474	500	4							
21475	513	0	0	0	0				
21480	528	0							
21484	504	0	1a	1					
21484	50c	83	1	0					
21484	500	4							
21487	540	8	a0	0	0d	c0	0		
21487	534	69	8						
21487	568	18							
21493	56c	19							
21495	548	0f	d0	0	74	c0	0		
21495	54c	0c	d0	0	0c	90	0		
21500	504	0	1a	1					
21501	512	0	0	0	0				
21501	500	4							
21501	513	0	0	0	0				
21502	544	0b	a0	0	9	c0	5		
21502	524	0	0	0	0	5	0	5	9
21506	52c	0							
21506	504	0	1a	1					
21506	520	0	9	5	5	3	5	5	4
21506	500	4							
21509	534	75	8						
21511	538	0	0	0	0	0	0	0	0
21511	509	0	0	0	0	0	0		
21511	508	ff	ff	0	0	0			
21514	55c	18							
21517	504	0	1a	1					
21518	500	4							
21521	512	0	0	0	0				
21527	513	0	0	0	0				
21528	504	0	1a	1					
21532	500	4							
21532	534	64	8						
21532	514	0	2	0					
21532	564	18							
21535	50c	82	1	0					
21539	540	8	a0	0	0d	c0	0		
21539	504	0	1a	1					
21539	500	4							
21547	512	0	0	0	0				
21547	548	10	d0	0	5d	c0	0		
